# Exact truth-map state table; state order: surface -> aerosol -> SIF -> XCO2
# AOD550 ratio sulfate:organic_carbon:stratospheric_sulfate = 8:1.8:0.2; total AOD760 = 0.28
# SIF_total units: mW m^-2 sr^-1 integrated in wavelength; SIF760 is per cm^-1
# index surface_index surface aerosol_index aerosol_case sif_index sif_case xco2_index xco2_ppm psurf_hpa sza_deg vza_deg sulfate_aod550 organic_aod550 stratospheric_aod550 sif_total SIF760 mSIF o2a_P0 o2a_P1 o2a_P2 weak_P0 weak_P1 weak_P2 strong_P0 strong_P1 strong_P2
025 2 rural 2 aod760_0p28 1 off 1 380 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
026 2 rural 2 aod760_0p28 1 off 2 400 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
027 2 rural 2 aod760_0p28 1 off 3 420 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
028 2 rural 2 aod760_0p28 1 off 4 440 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
029 2 rural 2 aod760_0p28 2 total_0p5 1 380 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
030 2 rural 2 aod760_0p28 2 total_0p5 2 400 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
031 2 rural 2 aod760_0p28 2 total_0p5 3 420 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
032 2 rural 2 aod760_0p28 2 total_0p5 4 440 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 1.335417267332e-01 -7.346018628075e-03 5.798463175187e-05
033 3 desert 1 none 1 off 1 380 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.186071552534e-01 -3.356987808217e-04 -5.529607382857e-05 4.972482231007e-01 -1.598624892135e-03 5.177341280743e-03 4.821355300133e-01 -2.153405391580e-03 -4.615076186362e-04
034 3 desert 1 none 1 off 2 400 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.186071552534e-01 -3.356987808217e-04 -5.529607382857e-05 4.972482231007e-01 -1.598624892135e-03 5.177341280743e-03 4.821355300133e-01 -2.153405391580e-03 -4.615076186362e-04
