# l species scattering_weight beta_l
126 sulfate          7.061010130e-01 -1.259051457e-14
127 sulfate          7.061010130e-01 -1.244121993e-14
128 sulfate          7.061010130e-01 -1.419670588e-14
129 sulfate          7.061010130e-01 -1.965658539e-14
130 sulfate          7.061010130e-01 -2.934469074e-14
131 sulfate          7.061010130e-01 -3.129468256e-14
132 sulfate          7.061010130e-01 -2.755337191e-14
133 sulfate          7.061010130e-01 -3.473783761e-16
134 sulfate          7.061010130e-01 2.379867137e-14
135 sulfate          7.061010130e-01 1.737938135e-14
136 sulfate          7.061010130e-01 5.224173958e-15
137 sulfate          7.061010130e-01 1.774025805e-15
138 sulfate          7.061010130e-01 2.913142817e-15
139 sulfate          7.061010130e-01 4.734006156e-15
140 sulfate          7.061010130e-01 1.351170694e-14
141 sulfate          7.061010130e-01 3.009994597e-14
142 sulfate          7.061010130e-01 4.721483621e-14
143 sulfate          7.061010130e-01 4.102724020e-14
144 sulfate          7.061010130e-01 3.575145822e-14
145 sulfate          7.061010130e-01 2.995699392e-14
146 sulfate          7.061010130e-01 2.436538384e-14
147 sulfate          7.061010130e-01 1.871061899e-15
148 sulfate          7.061010130e-01 -1.993229800e-14
149 sulfate          7.061010130e-01 -2.436186019e-14
150 sulfate          7.061010130e-01 -2.545489861e-14
151 sulfate          7.061010130e-01 -2.562403414e-14
152 sulfate          7.061010130e-01 -3.973140176e-14
153 sulfate          7.061010130e-01 -7.063078421e-14
154 sulfate          7.061010130e-01 -1.034285776e-13
155 sulfate          7.061010130e-01 -8.459175743e-14
156 sulfate          7.061010130e-01 -6.992415544e-14
157 sulfate          7.061010130e-01 -7.069540266e-14
158 sulfate          7.061010130e-01 -8.749541348e-14
159 sulfate          7.061010130e-01 -8.721736983e-14
160 sulfate          7.061010130e-01 -1.028077363e-13
161 sulfate          7.061010130e-01 -1.215885032e-13
162 sulfate          7.061010130e-01 -1.506451485e-13
163 sulfate          7.061010130e-01 -1.239451250e-13
164 sulfate          7.061010130e-01 -9.377709113e-14
165 sulfate          7.061010130e-01 -3.860553912e-14
166 sulfate          7.061010130e-01 1.222118110e-14
167 sulfate          7.061010130e-01 4.193233217e-14
168 sulfate          7.061010130e-01 4.500520507e-14
169 sulfate          7.061010130e-01 -2.265912067e-14
170 sulfate          7.061010130e-01 -9.615309308e-14
171 sulfate          7.061010130e-01 -1.024904987e-13
172 sulfate          7.061010130e-01 -1.004136553e-13
173 sulfate          7.061010130e-01 -8.754596440e-14
174 sulfate          7.061010130e-01 -9.029249245e-14
175 sulfate          7.061010130e-01 -8.740396102e-14
176 sulfate          7.061010130e-01 -9.595831616e-14
177 sulfate          7.061010130e-01 -9.099803701e-14
178 sulfate          7.061010130e-01 -1.019613268e-13
179 sulfate          7.061010130e-01 -1.139174746e-13
180 sulfate          7.061010130e-01 -1.377325988e-13
181 sulfate          7.061010130e-01 -1.254883242e-13
182 sulfate          7.061010130e-01 -1.200557394e-13
183 sulfate          7.061010130e-01 -9.630227930e-14
184 sulfate          7.061010130e-01 -7.707360141e-14
185 sulfate          7.061010130e-01 -3.831829331e-14
186 sulfate          7.061010130e-01 -1.126274638e-14
187 sulfate          7.061010130e-01 -9.478298680e-15
188 sulfate          7.061010130e-01 -1.596146175e-14
189 sulfate          7.061010130e-01 -1.368339036e-14
190 sulfate          7.061010130e-01 -2.126334590e-14
191 sulfate          7.061010130e-01 -5.040089982e-14
192 sulfate          7.061010130e-01 -7.582916771e-14
193 sulfate          7.061010130e-01 -4.412998287e-14
194 sulfate          7.061010130e-01 -1.367539437e-14
195 sulfate          7.061010130e-01 -1.586002109e-14
196 sulfate          7.061010130e-01 -3.044423437e-14
197 sulfate          7.061010130e-01 -2.339904800e-14
198 sulfate          7.061010130e-01 -2.097799744e-14
199 sulfate          7.061010130e-01 -3.541344464e-14
200 sulfate          7.061010130e-01 -6.094862841e-14
201 sulfate          7.061010130e-01 -7.252549527e-14
202 sulfate          7.061010130e-01 -8.648111524e-14
203 sulfate          7.061010130e-01 -8.032773936e-14
204 sulfate          7.061010130e-01 -8.287869089e-14
205 sulfate          7.061010130e-01 -8.280215299e-14
206 sulfate          7.061010130e-01 -9.744714259e-14
207 sulfate          7.061010130e-01 -9.965132560e-14
208 sulfate          7.061010130e-01 -9.619537019e-14
209 sulfate          7.061010130e-01 -3.636233160e-14
210 sulfate          7.061010130e-01 2.119635576e-14
211 sulfate          7.061010130e-01 3.064998206e-14
212 sulfate          7.061010130e-01 2.845353076e-15
213 sulfate          7.061010130e-01 -7.710504327e-14
214 sulfate          7.061010130e-01 -1.504206915e-13
215 sulfate          7.061010130e-01 -1.151770431e-13
216 sulfate          7.061010130e-01 -7.836013265e-14
217 sulfate          7.061010130e-01 -7.868596420e-14
218 sulfate          7.061010130e-01 -1.150303506e-13
219 sulfate          7.061010130e-01 -1.366465060e-13
220 sulfate          7.061010130e-01 -1.705768057e-13
0 organic_carbon   2.729556486e-01 1.000000000e+00
1 organic_carbon   2.729556486e-01 2.081415182e+00
2 organic_carbon   2.729556486e-01 2.541617528e+00
3 organic_carbon   2.729556486e-01 2.321330955e+00
4 organic_carbon   2.729556486e-01 2.077301253e+00
5 organic_carbon   2.729556486e-01 1.709254666e+00
6 organic_carbon   2.729556486e-01 1.414595326e+00
7 organic_carbon   2.729556486e-01 1.141706300e+00
