# vza_deg vaz_deg case I Q U
 30.0 180.0           32 5.672554970e+00 -6.829981692e-03 0.000000000e+00
 30.0   0.0  untruncated 5.533173561e+00 2.018829137e-01 0.000000000e+00
 30.0 180.0  untruncated 5.709400177e+00 -6.829909980e-03 0.000000000e+00
 35.0   0.0            8 5.527480125e+00 2.398003340e-01 0.000000000e+00
 35.0 180.0            8 5.611701965e+00 -9.143196046e-03 0.000000000e+00
 35.0   0.0           12 5.524904728e+00 2.426426709e-01 0.000000000e+00
 35.0 180.0           12 5.633459568e+00 -1.318451297e-02 0.000000000e+00
 35.0   0.0           16 5.523926735e+00 2.426793277e-01 0.000000000e+00
 35.0 180.0           16 5.651948929e+00 -1.620369591e-02 0.000000000e+00
 35.0   0.0           24 5.523647785e+00 2.426605523e-01 0.000000000e+00
 35.0 180.0           24 5.662751675e+00 -1.781381108e-02 0.000000000e+00
 35.0   0.0           32 5.522374630e+00 2.426074296e-01 0.000000000e+00
 35.0 180.0           32 5.662121296e+00 -1.804767177e-02 0.000000000e+00
 35.0   0.0  untruncated 5.495275021e+00 2.424586862e-01 0.000000000e+00
 35.0 180.0  untruncated 5.634839535e+00 -1.792014390e-02 0.000000000e+00
 40.0   0.0            8 5.567371845e+00 2.866440713e-01 0.000000000e+00
 40.0 180.0            8 5.620328426e+00 -1.215158217e-02 0.000000000e+00
 40.0   0.0           12 5.565722466e+00 2.908540964e-01 0.000000000e+00
 40.0 180.0           12 5.634131432e+00 -2.703057416e-02 0.000000000e+00
 40.0   0.0           16 5.565113544e+00 2.907244563e-01 0.000000000e+00
 40.0 180.0           16 5.639066219e+00 -3.644943610e-02 0.000000000e+00
 40.0   0.0           24 5.567378998e+00 2.909859121e-01 0.000000000e+00
 40.0 180.0           24 5.638401031e+00 -3.961491957e-02 0.000000000e+00
 40.0   0.0           32 5.565359592e+00 2.908916175e-01 0.000000000e+00
 40.0 180.0           32 5.635667324e+00 -3.931180388e-02 0.000000000e+00
 40.0   0.0  untruncated 5.537817478e+00 2.892080843e-01 0.000000000e+00
 40.0 180.0  untruncated 5.607778072e+00 -3.868213668e-02 0.000000000e+00
 45.0   0.0            8 5.624902725e+00 3.418519497e-01 0.000000000e+00
 45.0 180.0            8 5.625543594e+00 -1.388435904e-02 0.000000000e+00
 45.0   0.0           12 5.624773502e+00 3.459219038e-01 0.000000000e+00
 45.0 180.0           12 5.628583431e+00 -4.142230377e-02 0.000000000e+00
 45.0   0.0           16 5.624383926e+00 3.461749554e-01 0.000000000e+00
