# Altitude-lognormal truth-map aerosol profiles
# Layer AOD is computed by exact CDF differences at the model boundaries.
# nlayer layer z_top_km z_bottom_km z_center_km dz_km species tau760 z_median_km sigma_ln_z z_mode_km layer_fraction layer_aod760
12 12 0.722002387 0.000000000 0.361001194 0.722002387 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 3.639708737626e-03 2.937551414740e-04
12 12 0.722002387 0.000000000 0.361001194 0.722002387 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 1 62.693801880 18.891431808 40.792617798 43.802368164 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 1.408625458499e-07 2.726353865649e-08
16 1 62.693801880 18.891431808 40.792617798 43.802368164 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 2.159268230884e-08 1.742711272708e-09
16 1 62.693801880 18.891431808 40.792617798 43.802368164 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 4.539545933935e-06 2.607732038561e-08
16 2 18.891431808 14.466358185 16.678894043 4.425073624 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 2.068783678144e-06 4.004071021200e-07
16 2 18.891431808 14.466358185 16.678894043 4.425073624 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 7.326892315085e-07 5.913419022606e-08
16 2 18.891431808 14.466358185 16.678894043 4.425073624 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 3.842639753135e-02 2.207395837102e-04
16 3 14.466358185 11.890235901 13.178297043 2.576122284 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 1.171351050044e-05 2.267116105316e-06
16 3 14.466358185 11.890235901 13.178297043 2.576122284 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 7.053288813896e-06 5.692597959732e-07
16 3 14.466358185 11.890235901 13.178297043 2.576122284 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 5.376552652920e-01 3.088548681757e-03
16 4 11.890235901 10.052184105 10.971210480 1.838051796 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 4.569510377439e-05 8.844155276683e-06
16 4 11.890235901 10.052184105 10.971210480 1.838051796 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 4.028714937077e-05 3.251512172018e-06
16 4 11.890235901 10.052184105 10.971210480 1.838051796 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 3.932528394095e-01 2.259032166450e-03
16 5 10.052184105 8.599275589 9.325729370 1.452908516 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 1.488736723878e-04 2.881406904575e-05
16 5 10.052184105 8.599275589 9.325729370 1.452908516 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 1.761877174264e-04 1.421983229689e-05
16 5 10.052184105 8.599275589 9.325729370 1.452908516 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 3.036170113546e-02 1.744121151067e-04
16 6 8.599275589 7.383318901 7.991297245 1.215956688 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 4.370312194841e-04 8.458612951093e-05
16 6 8.599275589 7.383318901 7.991297245 1.215956688 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 6.539492179618e-04 5.277920814193e-05
16 6 8.599275589 7.383318901 7.991297245 1.215956688 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 2.988988299683e-04 1.717017663309e-06
16 7 7.383318901 6.324834347 6.854076385 1.058484554 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 1.207425946330e-03 2.336938024512e-04
16 7 7.383318901 6.324834347 6.854076385 1.058484554 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 2.177475705136e-03 1.757406237499e-04
16 7 7.383318901 6.324834347 6.854076385 1.058484554 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 3.582167329985e-07 2.057768034477e-09
16 8 6.324834347 5.375703335 5.850268841 0.949130952 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 3.226950464099e-03 6.245669364396e-04
16 8 6.324834347 5.375703335 5.850268841 0.949130952 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 6.709295191889e-03 5.414966142510e-04
16 8 6.324834347 5.375703335 5.850268841 0.949130952 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 3.904643275376e-11 2.243013622185e-13
16 9 5.375703335 4.514123917 4.944913864 0.861579418 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 8.339434277264e-03 1.614073403399e-03
16 9 5.375703335 4.514123917 4.944913864 0.861579418 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 1.904609692195e-02 1.537180389737e-03
16 9 5.375703335 4.514123917 4.944913864 0.861579418 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 2.220446049250e-16 1.275530281397e-18
16 10 4.514123917 3.739643097 4.126883507 0.774481058 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 2.022568678724e-02 3.914623225436e-03
